seed,module,coverage,mean_distance,gini,training_loss,train_seconds,search_seconds,total_seconds,selected_indices
1023,MLP+fixed diffusion,0.7431135177729591,4.421272286390152,0.24901140488854645,1.0209649801254272,0.521498199988855,0.7065676999918651,1.2280658999807201,0 2 13 18 20 39 61 63 66 67 73 75
1024,GAT,0.7110479802672598,4.621544744098069,0.23429261394794065,1.0209176540374756,0.5771395999763627,0.7070857000071555,1.2842252999835182,10 20 23 27 30 49 61 63 71 73 74 75
1024,GCN,0.7329310675000165,4.283215686081055,0.27946028077007523,1.0214154720306396,0.558024599973578,0.7285942000162322,1.2866187999898102,2 5 17 20 23 35 37 46 61 64 72 74
1024,GraphSAGE,0.7329310675000165,4.283215686081055,0.27946028077007523,1.0203920602798462,0.549434000015026,0.8203490999876522,1.3697831000026781,2 5 17 20 23 35 37 46 61 64 72 74
1024,MLP+fixed diffusion,0.74648298625654,4.371319253343531,0.2528235361777422,1.0219225883483887,0.5271125000144821,0.7476086000096984,1.2747211000241805,5 15 20 23 27 45 51 61 63 64 71 74
1025,GAT,0.6846113368584855,4.620063461367347,0.23173541259088848,1.0328350067138672,0.6035613999993075,0.8155031000205781,1.4190645000198856,10 23 27 34 51 57 60 61 63 64 71 74
1025,GCN,0.6559925235388671,4.926077265863129,0.2195251321489896,1.0354126691818237,0.5179398999898694,0.7375372999813408,1.2554771999712102,2 9 10 20 27 42 57 61 63 67 71 75
1025,GraphSAGE,0.7434254398326741,4.395186497620726,0.25186822816898713,1.0342034101486206,0.5947352999937721,0.7942310999787878,1.3889663999725599,1 2 5 13 18 20 39 61 63 71 73 75
1025,MLP+fixed diffusion,0.7213425989457551,4.455358401294618,0.2370023866909713,1.0357333421707153,0.5128490999923088,0.7731660000281408,1.2860151000204496,20 23 27 45 50 51 57 61 63 64 71 74
1026,GAT,0.7006472568011992,4.256050567018956,0.2708797512099642,1.042237401008606,0.5761881000071298,0.7154432000243105,1.2916313000314403,17 18 19 24 28 51 57 60 61 62 64 74
1026,GCN,0.7250884481823807,4.486526532121342,0.2599240921527275,1.0422844886779785,0.5149886999861337,0.6940905999799725,1.2090792999661062,2 20 23 35 46 49 61 66 67 73 74 75
1026,GraphSAGE,0.7513214472058909,4.365039345193058,0.25346676915624056,1.042933464050293,0.554036100016674,0.7284663000027649,1.282502400019439,2 5 20 23 27 45 61 63 64 71 72 74
1026,MLP+fixed diffusion,0.7269466323639742,4.413514841965363,0.25958017092847097,1.0430233478546143,0.523285000002943,0.8188290999969468,1.3421140999998897,5 20 23 27 28 45 46 61 64 67 74 75
1027,GAT,0.720139318840365,4.316067246481477,0.2501592882668179,1.020751953125,0.5488360000017565,0.781147300003795,1.3299833000055514,5 18 20 23 27 46 51 61 67 71 73 74
1027,GCN,0.7310280247934876,4.3577857247579725,0.24610500043496908,1.021579384803772,0.49713620002148673,0.8007759999891277,1.2979122000106145,7 18 19 20 23 28 46 51 57 61 67 73
1027,GraphSAGE,0.748639390829743,4.44936617161743,0.23863255991320842,1.0214498043060303,0.57829230002244,0.6698341999726836,1.2481264999951236,20 27 34 39 45 57 61 63 71 73 74 75
1027,MLP+fixed diffusion,0.7301845826633563,4.610707006931587,0.2254990257063939,1.0204476118087769,0.5265951000037603,0.6386842000065371,1.1652793000102974,2 10 13 20 23 27 57 61 63 71 73 75
1028,GAT,0.6971168156167965,4.88757713087411,0.22119818797385515,1.0443090200424194,0.5827263999963179,0.7451616000034846,1.3278879999998026,2 5 7 10 20 27 37 39 50 61 63 75
1028,GCN,0.7307767257352336,4.538089311778286,0.23493066919856753,1.0442756414413452,0.5121527999872342,0.6469640999857802,1.1591168999730144,2 5 20 27 45 49 50 61 63 71 74 75
1028,GraphSAGE,0.7459718733381954,4.405329337644909,0.26332435692080347,1.0455325841903687,0.5462945000035688,0.7117324999999255,1.2580270000034943,0 2 18 20 28 39 50 61 63 64 72 74
1028,MLP+fixed diffusion,0.7656190196554998,4.484471540629905,0.23872879889936083,1.045267939567566,0.5562753999838606,0.6909933000279125,1.247268700011773,2 5 13 20 27 28 39 45 61 63 73 75
1029,GAT,0.704654766425408,4.733908544609095,0.23236586359946865,1.0207366943359375,0.544388499984052,0.8589820999768563,1.4033705999609083,2 5 10 23 25 27 37 50 61 63 67 75
1029,GCN,0.724680186535277,4.71963544286847,0.2252816023690004,1.0172603130340576,0.5155281000188552,0.707686299982015,1.2232144000008702,2 5 10 20 23 27 37 50 61 63 67 75
1029,GraphSAGE,0.6612042055241937,4.8359921171809805,0.20776653424908287,1.0184450149536133,0.5946071999787819,0.705105300003197,1.299712499981979,2 10 12 20 27 50 57 61 63 67 71 75
1029,MLP+fixed diffusion,0.6881056451743144,4.692630241278641,0.2192649425969585,1.0175714492797852,0.5134510000061709,0.6886930000036955,1.2021440000098664,2 5 8 10 23 27 28 61 63 67 73 75
