seed,positive_negative_weight_ratio,coverage,mean_distance,gini,training_loss,train_seconds,search_seconds,total_seconds,selected_indices
1013,0.1,0.7604449426444181,4.434178626390537,0.26309620430254266,0.7013572454452515,0.6053557000122964,0.664999100001296,1.2703548000135925,1 2 5 7 13 18 20 37 39 61 63 75
1013,0.3,0.7357671407032716,4.338935314046245,0.24275095280723025,0.7769518494606018,0.6335580000013579,0.6313652999815531,1.264923299982911,18 19 20 23 37 46 51 61 66 67 73 74
1013,1.0,0.6961272706810394,4.508743368491631,0.23424266784103853,1.0245193243026733,0.566713099979097,0.6682479000010062,1.2349609999801032,1 2 5 7 12 18 20 61 63 71 73 75
1013,3.0,0.7526434973239385,4.511867300770641,0.24673975512707125,1.703077793121338,0.5371236999926623,0.6559219000046141,1.1930455999972764,5 10 15 20 23 27 28 51 61 63 64 74
1013,10.0,0.7276542113113363,4.683457016869453,0.21956852256462533,4.045416831970215,0.5186218000017107,0.6391050000092946,1.1577268000110053,5 10 12 20 23 27 28 61 63 67 73 75
1014,0.1,0.7129154451487432,4.440294610937204,0.23893155977757286,0.7096448540687561,0.517204200004926,0.6402731999987736,1.1574774000036996,1 2 18 20 28 57 61 63 67 73 74 75
1014,0.3,0.6924961976243087,4.544210013861204,0.25529483531939823,0.7804570198059082,0.5886839000158943,0.6558361999923363,1.2445201000082307,9 18 23 24 27 37 51 57 61 73 74 76
1014,1.0,0.7067510635054549,4.669940083820781,0.23738987585930993,1.0226480960845947,0.5282374999951571,0.6524562000122387,1.1806937000073958,2 6 20 28 36 45 57 61 63 64 67 75
1014,3.0,0.7183153884414342,4.403713498728009,0.24743334550120277,1.695267915725708,0.6513028000190388,0.6201106999942567,1.2714135000132956,18 20 23 27 28 46 51 61 64 67 74 75
1014,10.0,0.7194115622002666,4.540063491565064,0.2417458738647299,4.033563613891602,0.52494969998952,0.6599600000190549,1.1849097000085749,1 2 15 18 20 37 39 55 61 63 73 74
1015,0.1,0.7071166883521373,4.390615222802811,0.24474877389338978,0.7098813652992249,0.5192084000154864,0.6440048000076786,1.163213200023165,2 7 17 18 20 23 46 61 71 73 75 78
1015,0.3,0.7315172824853037,4.2790528175560985,0.28454010869142843,0.7766439914703369,0.5539728000003379,0.629271100013284,1.183243900013622,0 18 19 20 23 28 51 61 63 64 76 78
1015,1.0,0.7081603073958813,4.283692771941028,0.2832892641972313,1.0092923641204834,0.5448325999896042,0.8391291000007186,1.3839616999903228,0 5 7 15 18 20 23 50 51 63 69 74
1015,3.0,0.7336514690381637,4.474376090212186,0.23193109690056168,1.6810083389282227,0.5821935999847483,0.6074178999988362,1.1896114999835845,2 13 20 27 30 39 45 61 63 71 73 75
1015,10.0,0.7447162284418294,4.42648682614245,0.2544074752617175,4.023870944976807,0.555370199988829,0.6249444999848492,1.1803146999736782,2 7 13 18 20 23 46 55 61 67 71 72
1016,0.1,0.764084027397888,4.460600859119592,0.24169365524831143,0.7142351865768433,0.57854899999802,0.6131519000045955,1.1917009000026155,2 5 13 20 27 39 45 61 63 64 71 75
1016,0.3,0.771638114779245,4.4529039532871115,0.26548503171778026,0.7842093706130981,0.5778801999986172,0.6461490000074264,1.2240292000060435,2 5 20 27 39 41 45 61 67 71 74 75
1016,1.0,0.762502679703255,4.549005340687211,0.26063128704564753,1.0267884731292725,0.5617270000220742,0.6245651000062935,1.1862921000283677,2 5 20 36 39 45 63 70 71 72 73 74
1016,3.0,0.7427553239978729,4.491176469210087,0.2449901688623375,1.699061393737793,0.5070551999961026,0.6212833000172395,1.1283385000133421,2 13 20 27 39 45 46 61 64 67 71 75
1016,10.0,0.7254378333546567,4.583436441836035,0.23272416820499786,4.0387115478515625,0.5249713999801315,0.6681455000070855,1.193116899987217,2 12 20 27 39 45 46 61 67 71 73 75
1017,0.1,0.7223164879330509,4.4571080383797455,0.24397193790924543,0.7349060773849487,0.5279234999907203,0.6550398000108544,1.1829633000015747,17 20 27 34 39 45 46 61 71 73 74 75
1017,0.3,0.7165719672613281,4.6153713930949065,0.229643870791172,0.8064373135566711,0.5280751999816857,0.6468967999971937,1.1749719999788795,20 27 28 30 31 34 39 45 61 67 73 75
1017,1.0,0.7480179785141519,4.516083891677827,0.2461670328591744,1.0500624179840088,0.5370724000094924,0.6697979999880772,1.2068703999975696,5 10 20 23 27 28 51 61 63 72 73 74
1017,3.0,0.6730326172251914,4.4191142883755035,0.23704192284962355,1.7220771312713623,0.5224502999917604,0.6367999000067357,1.159250199998496,7 15 18 23 25 28 46 61 67 70 73 74
1017,10.0,0.6919963863534497,4.713717466934122,0.22355633495348837,4.0638837814331055,0.5731530000048224,0.6124399999971502,1.1855930000019725,2 10 20 23 27 30 31 50 61 67 71 75
1018,0.1,0.7484112470091864,4.472594376477135,0.26823525679678717,0.6899312138557434,0.5654168000037316,0.6158416999969631,1.1812585000006948,0 2 7 18 20 27 39 61 63 71 75 78
1018,0.3,0.6689772947870991,4.576769336665167,0.24317638086160398,0.7593306303024292,0.5159843000001274,0.6551583999826107,1.1711426999827381,1 2 7 18 25 50 60 61 63 71 75 78
1018,1.0,0.747739036582746,4.4305357391255225,0.25845465905787135,0.9995931386947632,0.5886673999775667,0.6998136999900453,1.288481099967612,0 2 18 20 39 61 63 64 66 67 75 78
1018,3.0,0.7039495929250685,4.4624948496017245,0.23777673312823233,1.6730875968933105,0.5160682999994606,0.8828678000136279,1.3989361000130884,18 20 23 27 37 46 61 63 66 73 74 75
1018,10.0,0.7398119801055624,4.360488857344065,0.2593501955890438,4.0191450119018555,0.5681994999758899,0.651524499990046,1.219723999965936,2 20 27 28 39 45 47 61 63 73 75 78
1019,0.1,0.749655009632924,4.39007599248625,0.2599392241340418,0.7129858136177063,0.5194155999924988,0.6667075000004843,1.186123099992983,18 19 20 23 28 46 49 50 51 61 67 74
1019,0.3,0.7334835807740508,4.392134794395814,0.2536322525479251,0.7852140665054321,0.6422796999977436,0.6328411000140477,1.2751208000117913,5 20 23 27 45 51 61 63 64 71 74 75
1019,1.0,0.7524795106437336,4.521685709567713,0.24208770599403628,1.0334172248840332,0.5468260999768972,0.6209267000085674,1.1677527999854647,5 20 27 28 39 45 58 61 63 64 74 75
1019,3.0,0.7155228264647177,4.676413666404,0.22269953227064,1.7150254249572754,0.5706299000012223,0.6056186000059824,1.1762485000072047,5 10 12 20 23 27 28 50 61 63 64 75
1019,10.0,0.7611290012346672,4.527449142167796,0.23737319109968458,4.0601654052734375,0.5961284000077285,0.6088020000024699,1.2049304000101984,2 5 20 27 37 39 45 61 63 73 74 75
